"DATE","rconsnp09Q3","rconsnp09Q4","rconsnp10Q1","rconsnp10Q2","rconsnp10Q3","rconsnp10Q4","rconsnp11Q1","rconsnp11Q2","rconsnp11Q3","rconsnp11Q4","rconsnp12Q1","rconsnp12Q2","rconsnp12Q3","rconsnp12Q4","rconsnp13Q1","rconsnp13Q2","rconsnp13Q3","rconsnp13Q4","rconsnp14Q1","rconsnp14Q2","rconsnp14Q3","rconsnp14Q4","rconsnp15Q1","rconsnp15Q2","rconsnp15Q3","rconsnp15Q4","rconsnp16Q1","rconsnp16Q2","rconsnp16Q3","rconsnp16Q4","rconsnp17Q1","rconsnp17Q2","rconsnp17Q3","rconsnp17Q4","rconsnp18Q1","rconsnp18Q2","rconsnp18Q3","rconsnp18Q4","rconsnp19Q1","rconsnp19Q2","rconsnp19Q3","rconsnp19Q4","rconsnp20Q1","rconsnp20Q2","rconsnp20Q3","rconsnp20Q4","rconsnp21Q1","rconsnp21Q2","rconsnp21Q3","rconsnp21Q4","rconsnp22Q1","rconsnp22Q2","rconsnp22Q3","rconsnp22Q4","rconsnp23Q1","rconsnp23Q2","rconsnp23Q3","rconsnp23Q4","rconsnp24Q1"
"1949:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958:Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958:Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959:Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959:Q3",-0.00980344101564334,-0.00980344101564334,-0.00980344101564334,-0.00980344101564334,-0.00980344101564334,-0.00980344101564334,-0.00980344101564334,-0.00980344101564334,-0.985229644301144,-0.985229644301144,-0.985229644301144,-0.985229644301144,-0.985229644301144,-0.985229644301144,-0.985229644301144,-0.985229644301144,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,-1.14286958236232,1.01523714640179,1.01523714640179
"1959:Q4",1.9135240430241,1.9135240430241,1.9135240430241,1.9135240430241,1.9135240430241,1.9135240430241,1.9135240430241,1.9135240430241,3.91226787431247,3.91226787431247,3.91226787431247,3.91226787431247,3.91226787431247,3.91226787431247,3.91226787431247,3.91226787431247,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,4.53302474993049,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,3.41569469011795,2.02027073175195,2.02027073175195
"1960:Q1",2.65823142815584,2.65823142815584,2.65823142815584,2.65823142815584,2.65823142815584,2.65823142815584,2.65823142815584,2.65823142815584,3.58689198708482,3.58689198708482,3.58689198708482,3.58689198708482,3.58689198708482,3.58689198708482,3.58689198708482,3.58689198708482,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,2.0165669594594,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.25122707908447,4.74559411562949,4.74559411562949
"1960:Q2",-2.89016040726495,-2.89016040726495,-2.89016040726495,-2.89016040726495,-2.89016040726495,-2.89016040726495,-2.89016040726495,-2.89016040726495,-3.84710550888001,-3.84710550888001,-3.84710550888001,-3.84710550888001,-3.84710550888001,-3.84710550888001,-3.84710550888001,-3.84710550888001,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-1.28242627362267,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-3.414993479837,-4.00071171433041,-4.00071171433041
"1960:Q3",-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-0.927650437029204,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-3.11926226805475,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-1.08878797525116,-0.963302582783232,-0.963302582783232
"1960:Q4",-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.6049805454984,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-2.01006717070031,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-3.02530431710211,-2.69871754854383,-2.69871754854383
